ice_symbol,symbol_root,product,location,molecule,native_uom,convert_to_$usg,quarter_numb,quarter_pos,component_months,component_symbols
=(('%IBC N!-IEU') + ('%IBC Q!-IEU') + ('%IBC U!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,3Q,"N,Q,U","%IBC N!-IEU,%IBC Q!-IEU,%IBC U!-IEU"
=(('%IBC V!-IEU') + ('%IBC X!-IEU') + ('%IBC Z!-IEU'))/3,IBC,NORMAL BUTANE,CONWAY,C4,$/usg,n/a,Y,4Q,"V,X,Z","%IBC V!-IEU,%IBC X!-IEU,%IBC Z!-IEU"
=(('%ISO F!-IEU') + ('%ISO G!-IEU') + ('%ISO H!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,1Q,"F,G,H","%ISO F!-IEU,%ISO G!-IEU,%ISO H!-IEU"
=(('%ISO J!-IEU') + ('%ISO K!-IEU') + ('%ISO M!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,2Q,"J,K,M","%ISO J!-IEU,%ISO K!-IEU,%ISO M!-IEU"
=(('%ISO N!-IEU') + ('%ISO Q!-IEU') + ('%ISO U!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,3Q,"N,Q,U","%ISO N!-IEU,%ISO Q!-IEU,%ISO U!-IEU"
=(('%ISO V!-IEU') + ('%ISO X!-IEU') + ('%ISO Z!-IEU'))/3,ISO,ISOBUTANE,MT BELVIEU NTET,IC4,$/usg,n/a,Y,4Q,"V,X,Z","%ISO V!-IEU,%ISO X!-IEU,%ISO Z!-IEU"
=(('%NBI F!-IEU') + ('%NBI G!-IEU') + ('%NBI H!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,1Q,"F,G,H","%NBI F!-IEU,%NBI G!-IEU,%NBI H!-IEU"
=(('%NBI J!-IEU') + ('%NBI K!-IEU') + ('%NBI M!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,2Q,"J,K,M","%NBI J!-IEU,%NBI K!-IEU,%NBI M!-IEU"
=(('%NBI N!-IEU') + ('%NBI Q!-IEU') + ('%NBI U!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,3Q,"N,Q,U","%NBI N!-IEU,%NBI Q!-IEU,%NBI U!-IEU"
=(('%NBI V!-IEU') + ('%NBI X!-IEU') + ('%NBI Z!-IEU'))/3,NBI,NORMAL BUTANE,MT BELVIEU NTET,C4,$/usg,n/a,Y,4Q,"V,X,Z","%NBI V!-IEU,%NBI X!-IEU,%NBI Z!-IEU"
=(('%NGE F!-IEU') + ('%NGE G!-IEU') + ('%NGE H!-IEU'))/3,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,Y,1Q,"F,G,H","%NGE F!-IEU,%NGE G!-IEU,%NGE H!-IEU"
=(('%NGE J!-IEU') + ('%NGE K!-IEU') + ('%NGE M!-IEU'))/3,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,Y,2Q,"J,K,M","%NGE J!-IEU,%NGE K!-IEU,%NGE M!-IEU"
=(('%NGE N!-IEU') + ('%NGE Q!-IEU') + ('%NGE U!-IEU'))/3,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,Y,3Q,"N,Q,U","%NGE N!-IEU,%NGE Q!-IEU,%NGE U!-IEU"
=(('%NGE V!-IEU') + ('%NGE X!-IEU') + ('%NGE Z!-IEU'))/3,NGE,NATURAL GASOLINE,MT BELVIEU NTET,C5,$/usg,n/a,Y,4Q,"V,X,Z","%NGE V!-IEU,%NGE X!-IEU,%NGE Z!-IEU"
=(('%PRC F!-IEU') + ('%PRC G!-IEU') + ('%PRC H!-IEU'))/3,PRC,PROPANE,CONWAY,C3,$/usg,n/a,Y,1Q,"F,G,H","%PRC F!-IEU,%PRC G!-IEU,%PRC H!-IEU"
=(('%PRC J!-IEU') + ('%PRC K!-IEU') + ('%PRC M!-IEU'))/3,PRC,PROPANE,CONWAY,C3,$/usg,n/a,Y,2Q,"J,K,M","%PRC J!-IEU,%PRC K!-IEU,%PRC M!-IEU"
=(('%PRC N!-IEU') + ('%PRC Q!-IEU') + ('%PRC U!-IEU'))/3,PRC,PROPANE,CONWAY,C3,$/usg,n/a,Y,3Q,"N,Q,U","%PRC N!-IEU,%PRC Q!-IEU,%PRC U!-IEU"
=(('%PRC V!-IEU') + ('%PRC X!-IEU') + ('%PRC Z!-IEU'))/3,PRC,PROPANE,CONWAY,C3,$/usg,n/a,Y,4Q,"V,X,Z","%PRC V!-IEU,%PRC X!-IEU,%PRC Z!-IEU"
=(('%PRL F!-IEU') + ('%PRL G!-IEU') + ('%PRL H!-IEU'))/3,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,Y,1Q,"F,G,H","%PRL F!-IEU,%PRL G!-IEU,%PRL H!-IEU"
=(('%PRL J!-IEU') + ('%PRL K!-IEU') + ('%PRL M!-IEU'))/3,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,Y,2Q,"J,K,M","%PRL J!-IEU,%PRL K!-IEU,%PRL M!-IEU"
=(('%PRL N!-IEU') + ('%PRL Q!-IEU') + ('%PRL U!-IEU'))/3,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,Y,3Q,"N,Q,U","%PRL N!-IEU,%PRL Q!-IEU,%PRL U!-IEU"
=(('%PRL V!-IEU') + ('%PRL X!-IEU') + ('%PRL Z!-IEU'))/3,PRL,PROPANE,MT BELVIEU LST,C3,$/usg,n/a,Y,4Q,"V,X,Z","%PRL V!-IEU,%PRL X!-IEU,%PRL Z!-IEU"
=(('%PRN F!-IEU') + ('%PRN G!-IEU') + ('%PRN H!-IEU'))/3,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,Y,1Q,"F,G,H","%PRN F!-IEU,%PRN G!-IEU,%PRN H!-IEU"
=(('%PRN J!-IEU') + ('%PRN K!-IEU') + ('%PRN M!-IEU'))/3,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,Y,2Q,"J,K,M","%PRN J!-IEU,%PRN K!-IEU,%PRN M!-IEU"
=(('%PRN N!-IEU') + ('%PRN Q!-IEU') + ('%PRN U!-IEU'))/3,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,Y,3Q,"N,Q,U","%PRN N!-IEU,%PRN Q!-IEU,%PRN U!-IEU"
=(('%PRN V!-IEU') + ('%PRN X!-IEU') + ('%PRN Z!-IEU'))/3,PRN,PROPANE,MT BELVIEU NTET,C3,$/usg,n/a,Y,4Q,"V,X,Z","%PRN V!-IEU,%PRN X!-IEU,%PRN Z!-IEU"
=(('%XRB F!') + ('%XRB G!') + ('%XRB H!'))/3,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,Y,1Q,"F,G,H","%XRB F!,%XRB G!,%XRB H!"
=(('%XRB J!') + ('%XRB K!') + ('%XRB M!'))/3,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,Y,2Q,"J,K,M","%XRB J!,%XRB K!,%XRB M!"
=(('%XRB N!') + ('%XRB Q!') + ('%XRB U!'))/3,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,Y,3Q,"N,Q,U","%XRB N!,%XRB Q!,%XRB U!"
=(('%XRB V!') + ('%XRB X!') + ('%XRB Z!'))/3,XRB,RBOB GASOLINE,NEW YORK HARBOR,RBOB,$/usg,n/a,Y,4Q,"V,X,Z","%XRB V!,%XRB X!,%XRB Z!"
